gbd_term	mapped_trait_uri	mapping_strategy	mapping_source	include_in_pipeline	hierarchy_distance	hierarchy_weight	root_mapped_trait_uri	lookup_trait_uri	replacement_type	source_file	source_column	source_value	search_term	matched_gwas_trait_examples	n_matching_pubmeds
Acne vulgaris	MONDO:0011438	canonical	canonical_model_review	TRUE	0	1	MONDO:0011438		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0011438	Acne vulgaris		13
Acute glomerulonephritis	MONDO:0002461	canonical	canonical_model_review	TRUE	0	1	MONDO:0002461		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0002461	Acute glomerulonephritis		1
Acute glomerulonephritis	MONDO:0002462	canonical	canonical_model_review	TRUE	0	1	MONDO:0002462		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0002462	Acute glomerulonephritis		5
Acute glomerulonephritis	MONDO:0003134	canonical	canonical_human_review	TRUE	0	1	MONDO:0003134		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0003134	Acute glomerulonephritis		3
Acute glomerulonephritis	MONDO:0005342	canonical	canonical_model_review	TRUE	0	1	MONDO:0005342		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005342	Acute glomerulonephritis		11
Acute hepatitis	HP:0012115	canonical	canonical_model_review	TRUE	0	1	HP:0012115		original	04_evidence_package_reviewed.csv	ontology_id	HP:0012115	Acute hepatitis		8
Acute hepatitis	MONDO:0005790	canonical	canonical_model_review	TRUE	0	1	MONDO:0005790		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005790	Acute hepatitis		4
Acute hepatitis A	MONDO:0005790	canonical	canonical_model_review	TRUE	0	1	MONDO:0005790		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005790	Acute hepatitis A		4
Acute hepatitis B	MONDO:0005344	canonical	canonical_human_review	TRUE	0	1	MONDO:0005344		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005344	Acute hepatitis B		13
Acute hepatitis B	MONDO:0100370	canonical	canonical_model_review	TRUE	0	1	MONDO:0100370		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0100370	Acute hepatitis B		1
Acute hepatitis C	MONDO:0005231	canonical	canonical_model_review	TRUE	0	1	MONDO:0005231		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005231	Acute hepatitis C		9
Acute lymphoid leukemia	MONDO:0000870	canonical	canonical_model_review	TRUE	0	1	MONDO:0000870		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0000870	Acute lymphoid leukemia		2
Acute lymphoid leukemia	MONDO:0000871	canonical	canonical_model_review	TRUE	0	1	MONDO:0000871		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0000871	Acute lymphoid leukemia		1
Acute lymphoid leukemia	MONDO:0004947	canonical	canonical_model_review	TRUE	0	1	MONDO:0004947		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004947	Acute lymphoid leukemia		7
Acute lymphoid leukemia	MONDO:0004967	canonical	canonical_model_review	TRUE	0	1	MONDO:0004967		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004967	Acute lymphoid leukemia		16
Acute lymphoid leukemia	MONDO:0005402	canonical	canonical_human_review	TRUE	0	1	MONDO:0005402		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005402	Acute lymphoid leukemia		6
Acute myeloid leukemia	MONDO:0004643	canonical	canonical_model_review	TRUE	0	1	MONDO:0004643		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004643	Acute myeloid leukemia		3
Acute myeloid leukemia	MONDO:0018874	canonical	canonical_model_review	TRUE	0	1	MONDO:0018874		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0018874	Acute myeloid leukemia		9
Age-related and other hearing loss	HP:0000405	canonical	canonical_model_review	TRUE	0	1	HP:0000405		original	04_evidence_package_reviewed.csv	ontology_id	HP:0000405	Age-related and other hearing loss		3
Age-related and other hearing loss	HP:0000407	canonical	canonical_model_review	TRUE	0	1	HP:0000407		original	04_evidence_package_reviewed.csv	ontology_id	HP:0000407	Age-related and other hearing loss		2
Age-related and other hearing loss	MONDO:0005365	canonical	canonical_model_review	TRUE	0	1	MONDO:0005365		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005365	Age-related and other hearing loss		23
Age-related and other hearing loss	MONDO:0020678	canonical	canonical_model_review	TRUE	0	1	MONDO:0020678		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0020678	Age-related and other hearing loss		3
Age-related macular degeneration	EFO:1001492	canonical	canonical_model_review	TRUE	0	1	EFO:1001492		original	04_evidence_package_reviewed.csv	ontology_id	EFO:1001492	Age-related macular degeneration		6
Age-related macular degeneration	MONDO:0003004	canonical	canonical_model_review	TRUE	0	1	MONDO:0003004		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0003004	Age-related macular degeneration		7
Age-related macular degeneration	MONDO:0004580	canonical	canonical_human_review	TRUE	0	1	MONDO:0004580		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004580	Age-related macular degeneration		3
Age-related macular degeneration	MONDO:0005150	canonical	canonical_model_review	TRUE	0	1	MONDO:0005150		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005150	Age-related macular degeneration		37
Age-related macular degeneration	MONDO:0005417	canonical	canonical_model_review	TRUE	0	1	MONDO:0005417		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005417	Age-related macular degeneration		8
Age-related macular degeneration	MONDO:0100114	canonical	canonical_model_review	TRUE	0	1	MONDO:0100114		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0100114	Age-related macular degeneration		1
Alcohol use disorders	HP:0030955	canonical	canonical_model_review	TRUE	0	1	HP:0030955		original	04_evidence_package_reviewed.csv	ontology_id	HP:0030955	Alcohol use disorders		4
Alcohol use disorders	MONDO:0002046	canonical	canonical_model_review	TRUE	0	1	MONDO:0002046		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0002046	Alcohol use disorders		1
Alcohol use disorders	MONDO:0007079	canonical	canonical_model_review	TRUE	0	1	MONDO:0007079		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0007079	Alcohol use disorders		31
Alcohol use disorders	MONDO:0021698	canonical	canonical_model_review	TRUE	0	1	MONDO:0021698		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0021698	Alcohol use disorders		6
Alcoholic cardiomyopathy	MONDO:0004994	canonical	canonical_model_review	TRUE	0	1	MONDO:0004994		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004994	Alcoholic cardiomyopathy		13
Alopecia areata	HP:0002293	canonical	canonical_model_review	TRUE	0	1	HP:0002293		original	04_evidence_package_reviewed.csv	ontology_id	HP:0002293	Alopecia areata		1
Alopecia areata	MONDO:0004907	canonical	canonical_human_review	TRUE	0	1	MONDO:0004907		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004907	Alopecia areata		10
Alopecia areata	MONDO:0005340	canonical	canonical_model_review	TRUE	0	1	MONDO:0005340		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005340	Alopecia areata		8
Alzheimer's disease and other dementias	EFO:0006799	canonical	canonical_model_review	TRUE	0	1	EFO:0006799		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0006799	Alzheimer's disease and other dementias		1
Alzheimer's disease and other dementias	EFO:0006801	canonical	canonical_model_review	TRUE	0	1	EFO:0006801		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0006801	Alzheimer's disease and other dementias		1
Alzheimer's disease and other dementias	EFO:0022957	canonical	canonical_model_review	TRUE	0	1	EFO:0022957		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0022957	Alzheimer's disease and other dementias		1
Alzheimer's disease and other dementias	EFO:1001870	canonical	canonical_model_review	TRUE	0	1	EFO:1001870		original	04_evidence_package_reviewed.csv	ontology_id	EFO:1001870	Alzheimer's disease and other dementias		11
Alzheimer's disease and other dementias	MONDO:0001627	canonical	canonical_model_review	TRUE	0	1	MONDO:0001627		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0001627	Alzheimer's disease and other dementias		17
Alzheimer's disease and other dementias	MONDO:0004975	canonical	canonical_model_review	TRUE	0	1	MONDO:0004975		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004975	Alzheimer's disease and other dementias		121
Amphetamine use disorders	MONDO:0005419	canonical	canonical_model_review	TRUE	0	1	MONDO:0005419		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005419	Amphetamine use disorders		2
Anorexia nervosa	MONDO:0005351	canonical	canonical_model_review	TRUE	0	1	MONDO:0005351		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005351	Anorexia nervosa		17
Anxiety disorders	HP:0000739	canonical	canonical_model_review	TRUE	0	1	HP:0000739		original	04_evidence_package_reviewed.csv	ontology_id	HP:0000739	Anxiety disorders		20
Anxiety disorders	MONDO:0005383	canonical	canonical_model_review	TRUE	0	1	MONDO:0005383		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005383	Anxiety disorders		7
Anxiety disorders	MONDO:0005618	canonical	canonical_model_review	TRUE	0	1	MONDO:0005618		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005618	Anxiety disorders		20
Aortic aneurysm	HP:0002647	canonical	canonical_model_review	TRUE	0	1	HP:0002647		original	04_evidence_package_reviewed.csv	ontology_id	HP:0002647	Aortic aneurysm		3
